URL_ID,URL,Positive Score,Negative Score,Polarity Score,Subjectivity Score,Avg Sentence Length,% of Complex Words,FOG Index,Avg Number of Words per Sentence,Complex Word Count,Word Count,Syllables per Word,Personal Pronouns,Avg Word Length
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,72,35,0.345794389,0.077536232,27.59,20.75,11.12,27.59,458,1267,2.44,4,6.98
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,64,39,0.242718444,0.105749487,21.74,13.85,8.75,21.74,256,902,2.28,9,6.36
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,69,39,0.277777775,0.088379705,23.54,19.35,9.5,23.54,410,1162,2.41,3,6.99
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,68,28,0.416666662,0.09421001,20.45,12.35,8.23,20.45,245,1038,2.1,23,6.25
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,63,24,0.448275857,0.074105622,26.12,14.75,10.51,26.12,316,1084,2.27,17,6.62
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,49,24,0.342465749,0.083048919,26.74,14.35,10.75,26.74,234,810,2.29,31,6.56
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,31,13,0.4090909,0.072607261,20.98,16.78,8.46,20.98,176,541,2.33,12,6.59
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,4,1,0.59999988,0.031645569,37.5,16.44,15.07,37.5,37,135,2.32,1,6.69
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,42,14,0.499999991,0.1,24.56,12.21,9.87,24.56,123,530,2.08,1,6.24
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,71,42,0.256637166,0.081003584,30.49,15.33,12.26,30.49,402,1326,2.28,10,6.47
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,50,64,-0.122807016,0.080112438,25.69,14.17,10.33,25.69,346,1212,2.37,1,6.55
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,41,23,0.281249996,0.073647871,23.98,18.66,9.67,23.98,282,836,2.33,11,6.97
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,35,30,0.076923076,0.068710359,18.8,15.28,7.58,18.8,247,878,2.23,8,6.3
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,67,25,0.456521734,0.096537251,30.35,14.08,12.2,30.35,282,957,2.26,26,6.55
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,71,23,0.510638292,0.085067873,23.19,15.02,9.34,23.19,296,1013,2.29,13,6.61
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,30,1,0.935483841,0.064583333,28.74,17.14,11.56,28.74,133,436,2.33,1,6.93
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,84,40,0.354838707,0.129707113,149.93,13.24,60.02,149.93,278,1029,2.05,18,6.5
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,24,1,0.919999963,0.041186161,21.18,17.47,8.54,21.18,185,572,2.26,1,6.61
55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,18,7,0.439999982,0.040783034,22.58,21.56,9.12,22.58,219,546,2.56,1,7.17
56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,4,4,0,0.031496063,34.58,19.52,13.91,34.58,81,238,2.47,3,6.68
57,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,4,1,0.59999988,0.031645569,37.5,16.44,15.07,37.5,37,135,2.32,1,6.69
58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,28,70,-0.428571424,0.099898063,28.95,15.37,11.64,28.95,267,906,2.29,3,6.67
59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,21,16,0.135135131,0.063356164,29.85,16.16,12.01,29.85,164,534,2.36,5,6.53
60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,62,39,0.22772277,0.085016835,20.42,13.03,8.22,20.42,306,1158,2.2,16,6.42
61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,45,4,0.836734677,0.088768116,19.43,15.76,7.83,19.43,150,514,2.3,5,6.69
62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,9,2,0.636363579,0.028795811,28.55,14.81,11.48,28.55,93,359,2.15,2,6.34
63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,27,9,0.499999986,0.056692913,28,12.86,11.25,28,144,597,2.09,5,6.22
64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,17,9,0.307692296,0.055201698,31.12,16.73,12.52,31.12,125,406,2.37,2,6.64
65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,19,10,0.310344817,0.082386363,19.48,13.06,7.85,19.48,84,337,2.24,1,6.82
66,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,9,1,0.79999992,0.039370079,24,18.75,9.68,24,72,228,2.35,4,6.91
67,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,27,38,-0.169230767,0.10620915,18.92,12.13,7.62,18.92,140,562,2.21,28,6.21
68,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,13,3,0.624999961,0.062745098,29.57,14.49,11.89,29.57,60,238,2.21,2,6.39
69,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,37,12,0.510204071,0.082630691,26.94,18.04,10.85,26.94,175,539,2.39,1,7.04
70,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,5,8,-0.230769213,0.057017544,37.8,14.81,15.18,37.8,56,208,2.26,6,6.42
71,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,13,26,-0.333333325,0.119631901,23.15,13.92,9.31,23.15,87,326,2.19,8,6.41
72,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,30,50,-0.249999997,0.064620355,27.61,19.03,11.12,27.61,415,1123,2.44,22,7.09
73,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,47,24,0.323943657,0.068599034,28.51,11.94,11.45,28.51,252,1044,2.08,23,6.36
74,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,38,27,0.169230767,0.061436673,21.66,13.11,8.71,21.66,247,945,2.22,30,6.27
75,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,28,8,0.55555554,0.062176166,17.63,13.04,7.1,17.63,154,540,2.32,2,6.33
76,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,46,9,0.67272726,0.064705882,26.09,11.12,10.48,26.09,203,829,2.15,8,6.32
77,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,35,7,0.666666651,0.110526315,36.75,14.15,14.76,36.75,104,374,2.15,9,6.47
78,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,46,17,0.460317453,0.054830287,27.05,15.93,10.89,27.05,319,1058,2.3,8,6.58
79,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,27,74,-0.46534653,0.145743146,16.83,11.89,6.78,16.83,162,668,2.17,11,6.18
80,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,63,24,0.448275857,0.114173228,18.16,10.61,7.31,18.16,158,730,2.05,6,6.06
81,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,26,36,-0.16129032,0.080206986,27.85,12.42,11.19,27.85,166,714,2.09,1,6.15
82,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,27,24,0.058823528,0.060498221,22.34,17.7,9.01,22.34,257,765,2.45,13,6.72
83,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,26,78,-0.499999995,0.147100424,17.79,12.18,7.17,17.79,169,681,2.19,12,6.21
84,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,24,12,0.333333324,0.06617647,28.32,14.64,11.39,28.32,141,502,2.22,9,6.4
85,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,12,7,0.263157881,0.058823529,35.8,15.27,14.38,35.8,82,290,2.26,1,6.63
86,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,29,19,0.208333329,0.07804878,35.52,15.63,14.27,35.52,161,556,2.33,1,6.82
87,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,25,33,-0.137931032,0.064516129,26.05,15.23,10.48,26.05,242,808,2.29,8,6.56
88,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,40,12,0.538461528,0.018544936,20.92,14.36,8.43,20.92,601,2166,2.34,1,6.19
89,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,40,50,-0.11111111,0.080142475,24.17,15.23,9.73,24.17,324,1079,2.24,12,6.63
90,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,33,65,-0.326530609,0.085365854,28.8,19.82,11.6,28.8,371,1046,2.46,1,6.95
91,https://insights.blackcoffer.com/human-rights-outlook/,7,2,0.555555494,0.039473684,33.73,15.09,13.55,33.73,56,202,2.28,4,6.45
92,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,33,5,0.736842086,0.056801196,27.41,13.1,11.02,27.41,158,607,2.21,2,6.34
93,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,41,35,0.078947367,0.072037915,17.83,15.21,7.19,17.83,339,1112,2.22,6,6.41
94,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,57,16,0.561643828,0.0625,22.11,14.84,8.91,22.11,315,1094,2.24,7,6.42
95,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,34,35,-0.014492753,0.087452471,27.35,14.19,11,27.35,198,745,2.21,7,6.42
96,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,20,45,-0.384615379,0.051710422,32.38,18.86,13.03,32.38,397,1094,2.51,2,6.81
97,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,20,43,-0.365079359,0.085831063,24.63,14.91,9.91,24.63,191,657,2.36,4,6.63
98,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,40,49,-0.101123594,0.111809045,19.95,13.69,8.03,19.95,213,796,2.14,45,6.4
99,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,28,28,0,0.078651685,32.88,16.8,13.22,32.88,232,738,2.25,14,6.55
100,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,26,42,-0.235294114,0.068,26.15,16.7,10.53,26.15,262,886,2.36,4,6.49
101,https://insights.blackcoffer.com/travel-and-tourism-outlook/,8,4,0.333333306,0.048,29.86,14.35,12,29.86,60,226,2.24,4,6.35
102,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,32,47,-0.189873415,0.09875,22.14,14.04,8.91,22.14,202,753,2.17,25,6.37
103,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,12,26,-0.368421043,0.065068493,23.4,16.13,9.42,23.4,151,491,2.39,7,6.49
104,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,32,58,-0.288888886,0.110159119,26.35,18.76,10.62,26.35,267,778,2.37,4,6.82
105,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,26,36,-0.16129032,0.089595376,32.88,12.59,13.2,32.88,178,657,2.19,13,6.43
106,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,5,1,0.666666556,0.022304833,42.56,16.19,17.09,42.56,62,231,2.29,1,6.65
107,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,17,4,0.61904759,0.044303797,24.7,12.27,9.93,24.7,100,445,2.14,6,6.2
108,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,34,56,-0.244444442,0.12605042,35.66,16.83,14.33,35.66,210,626,2.45,3,6.75
109,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,34,26,0.133333331,0.12526096,28.86,9.41,11.58,28.86,95,489,2.01,43,5.83
110,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,10,40,-0.599999988,0.058962264,26.62,16.76,10.71,26.62,232,738,2.35,1,6.65
111,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,18,34,-0.307692302,0.069425901,24.27,17.66,9.78,24.27,240,708,2.38,1,6.86
112,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,31,53,-0.261904759,0.102065613,23.57,16.24,9.49,23.57,222,715,2.37,2,6.73
113,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,21,22,-0.023255813,0.071666667,28.1,16.88,11.31,28.1,185,595,2.3,9,6.54
114,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,52,49,0.02970297,0.095916429,26.11,13.25,10.5,26.11,256,975,2.16,4,6.45
115,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,25,40,-0.230769227,0.058087578,28.78,17.58,11.58,28.78,329,1019,2.36,2,6.61
116,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,29,26,0.054545454,0.098039216,70.25,9.52,28.14,70.25,107,576,1.91,47,5.67
117,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,43,68,-0.225225223,0.088942308,30.76,16.07,12.37,30.76,346,1106,2.38,13,6.61
118,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,37,55,-0.195652172,0.114427861,19.6,9.46,7.88,19.6,152,785,2.04,8,5.97
119,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,12,15,-0.111111107,0.070866142,29.25,19.66,11.78,29.25,115,320,2.6,2,7.01
120,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,50,93,-0.300699299,0.088490099,27.92,17.1,11.24,27.92,444,1451,2.27,2,6.54
121,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,38,66,-0.269230767,0.123076923,28.35,10.48,11.38,28.35,202,921,1.98,48,5.96
